seed,E,runtime,nfes,speed 
1,-4.23523,2.03629,1000000,491088
2,-4.52062,2.05302,1000000,487088
3,-4.12552,2.06941,1000000,483230
4,-4.61126,2.16958,1000000,460920
5,-3.57612,2.11671,1000000,472432
6,-4.12202,2.10468,1000000,475131
7,-4.1301,2.08174,1000000,480368
8,-4.3678,2.09084,1000000,478276
9,-3.48436,2.03487,1000000,491431
10,-4.07935,2.03569,1000000,491233
11,-4.1938,2.05463,1000000,486707
12,-4.54858,2.05991,1000000,485457
13,-4.22458,2.06257,1000000,484832
14,-4.54312,2.05734,1000000,486064
15,-3.93143,2.02191,1000000,494583
16,-3.84944,2.06566,1000000,484107
17,-4.35393,2.04153,1000000,489829
18,-3.9842,2.03961,1000000,490291
19,-4.04233,1.99667,1000000,500834
20,-3.66158,2.02633,1000000,493503
21,-4.0427,2.02954,1000000,492723
22,-3.85216,2.07877,1000000,481054
23,-4.46632,2.01779,1000000,495591
24,-3.97238,2.03237,1000000,492037
25,-3.86195,2.00274,1000000,499316
26,-4.21042,2.02035,1000000,494963
27,-4.50489,1.94973,1000000,512892
28,-4.46476,2.01296,1000000,496782
29,-4.34618,1.99193,1000000,502027
30,-3.65355,2.25846,1000000,442780
31,-4.41466,2.08854,1000000,478803
32,-3.96918,2.08892,1000000,478715
33,-3.85705,2.0729,1000000,482415
34,-3.84981,2.06358,1000000,484596
35,-4.32381,2.0304,1000000,492513
36,-3.51974,2.08864,1000000,478781
37,-4.20881,2.0093,1000000,497685
38,-4.43348,2.08095,1000000,480549
39,-3.47921,2.11341,1000000,473169
40,-4.37856,2.06682,1000000,483834
41,-4.32958,2.05673,1000000,486209
42,-3.60506,2.10299,1000000,475513
43,-4.45359,2.07711,1000000,481439
44,-4.04601,2.04522,1000000,488946
45,-3.82352,2.05608,1000000,486361
46,-3.68202,2.07705,1000000,481451
47,-3.9187,2.06379,1000000,484545
48,-4.43708,2.09246,1000000,477906
49,-4.2104,2.07426,1000000,482100
50,-3.99769,2.07199,1000000,482628
